window_size,horizon,sell_threshold,classifier,n_estimators,max_depth,min_recall,threshold,met_recall_req,accuracy,precision,recall,f1,roc_auc,pr_auc,true_positives,false_positives,total_samples,sell_samples,sell_pct
20,3,0.015,xgboost,200,10,0.4,0.005052190739661455,True,0.17398956184002912,0.17388929351784413,1.0,0.2962618272064526,0.5009428545165674,0.17467559014210682,2865,13611,82389,17971,21.812377865977254
20,5,0.005,random_forest,100,6,0.3,0.41022807317102183,True,0.3579924748149047,0.3579924748149047,1.0,0.527237788801001,0.517068417712593,0.3760501242252705,5899,10579,82389,32588,39.553823932806566
20,5,0.005,random_forest,100,6,0.4,0.41022807317102183,True,0.3579924748149047,0.3579924748149047,1.0,0.527237788801001,0.517068417712593,0.3760501242252705,5899,10579,82389,32588,39.553823932806566
20,5,0.005,random_forest,100,8,0.3,0.36327514663318994,True,0.3579924748149047,0.3579924748149047,1.0,0.527237788801001,0.51753260741145,0.37667528738571326,5899,10579,82389,32588,39.553823932806566
20,5,0.005,random_forest,100,10,0.3,0.2713527512632996,True,0.3579924748149047,0.3579924748149047,1.0,0.527237788801001,0.5116502753017638,0.37278851973601385,5899,10579,82389,32588,39.553823932806566
20,3,0.015,xgboost,200,6,0.4,0.03731125593185425,True,0.17417162276975362,0.17392096157348388,1.0,0.29630778777536454,0.509025378548813,0.17807427883112784,2865,13608,82389,17971,21.812377865977254
20,5,0.005,random_forest,100,10,0.4,0.2713527512632996,True,0.3579924748149047,0.3579924748149047,1.0,0.527237788801001,0.5116502753017638,0.37278851973601385,5899,10579,82389,32588,39.553823932806566
20,5,0.005,random_forest,200,6,0.3,0.42139782630915557,True,0.3579924748149047,0.3579924748149047,1.0,0.527237788801001,0.516422208861937,0.37470491771907066,5899,10579,82389,32588,39.553823932806566
20,5,0.005,random_forest,200,6,0.4,0.42139782630915557,True,0.3579924748149047,0.3579924748149047,1.0,0.527237788801001,0.516422208861937,0.37470491771907066,5899,10579,82389,32588,39.553823932806566
20,5,0.005,random_forest,200,8,0.3,0.36762710745574767,True,0.3579924748149047,0.3579924748149047,1.0,0.527237788801001,0.516400688330124,0.3777892859218981,5899,10579,82389,32588,39.553823932806566
20,5,0.005,random_forest,200,8,0.4,0.36762710745574767,True,0.3579924748149047,0.3579924748149047,1.0,0.527237788801001,0.516400688330124,0.3777892859218981,5899,10579,82389,32588,39.553823932806566
20,5,0.005,random_forest,200,10,0.3,0.2849770012656816,True,0.3579924748149047,0.3579924748149047,1.0,0.527237788801001,0.5135598659612184,0.37479833348455427,5899,10579,82389,32588,39.553823932806566
20,3,0.015,xgboost,200,8,0.3,0.01339334063231945,True,0.17405024881660397,0.1738998482549317,1.0,0.29627714581178904,0.5028059745272234,0.17811885829702478,2865,13610,82389,17971,21.812377865977254
20,3,0.015,xgboost,200,6,0.3,0.03731125593185425,True,0.17417162276975362,0.17392096157348388,1.0,0.29630778777536454,0.509025378548813,0.17807427883112784,2865,13608,82389,17971,21.812377865977254
20,3,0.01,xgboost,200,8,0.3,0.011150110512971878,True,0.2412307318849375,0.24118468167748983,1.0,0.38863625250598993,0.5027947372895026,0.2446247062773951,3974,12503,82389,23544,28.57663037541419
20,3,0.015,random_forest,100,10,0.4,0.25778544668018805,True,0.1741109357931788,0.17391040427340052,1.0,0.29629246600134446,0.503752816095999,0.18611769416406224,2865,13609,82389,17971,21.812377865977254
20,3,0.01,xgboost,200,8,0.4,0.011150110512971878,True,0.2412307318849375,0.24118468167748983,1.0,0.38863625250598993,0.5027947372895026,0.2446247062773951,3974,12503,82389,23544,28.57663037541419
20,3,0.01,xgboost,200,10,0.3,0.003351805731654167,True,0.2412307318849375,0.24118468167748983,1.0,0.38863625250598993,0.5064286323192884,0.2464379119401962,3974,12503,82389,23544,28.57663037541419
20,3,0.01,xgboost,200,10,0.4,0.003351805731654167,True,0.2412307318849375,0.24118468167748983,1.0,0.38863625250598993,0.5064286323192884,0.2464379119401962,3974,12503,82389,23544,28.57663037541419
20,3,0.015,random_forest,100,6,0.3,0.33586986017474174,True,0.17423230974632845,0.17393152015541524,1.0,0.29632311113409526,0.5101884055239775,0.18616253816878253,2865,13607,82389,17971,21.812377865977254
20,3,0.015,random_forest,100,6,0.4,0.33586986017474174,True,0.17423230974632845,0.17393152015541524,1.0,0.29632311113409526,0.5101884055239775,0.18616253816878253,2865,13607,82389,17971,21.812377865977254
20,3,0.015,random_forest,100,10,0.3,0.25778544668018805,True,0.1741109357931788,0.17391040427340052,1.0,0.29629246600134446,0.503752816095999,0.18611769416406224,2865,13609,82389,17971,21.812377865977254
