window_size,horizon,sell_threshold,classifier,n_estimators,max_depth,min_precision,threshold,met_precision_req,accuracy,precision,recall,f1,roc_auc,pr_auc,true_positives,false_positives,total_samples,sell_samples,sell_pct
10,6,0.025,xgboost,100,15,0.45,0.09594221413135529,False,0.22245883940620784,0.20893806186111508,0.9933431855930319,0.3452556552807242,0.52835152137217,0.2205591005504156,75954,287570,1852497,391649,21.141680661291222
10,6,0.025,xgboost,100,15,0.5,0.09594221413135529,False,0.22245883940620784,0.20893806186111508,0.9933431855930319,0.3452556552807242,0.52835152137217,0.2205591005504156,75954,287570,1852497,391649,21.141680661291222
10,6,0.015,xgboost,100,10,0.45,0.21112528443336487,False,0.30449932523616735,0.2923120139240785,0.9933274062982547,0.45169980019873734,0.5305085707916576,0.3068353134933457,106142,256970,1852497,548533,29.6104663057484
10,6,0.015,xgboost,100,10,0.5,0.21112528443336487,False,0.30449932523616735,0.2923120139240785,0.9933274062982547,0.45169980019873734,0.5305085707916576,0.3068353134933457,106142,256970,1852497,548533,29.6104663057484
30,12,0.015,xgboost,200,10,0.5,0.181154265999794,False,0.3459288879400712,0.3340491569499203,0.9932489732120587,0.49995396603530384,0.5523529661048812,0.3650969376579904,119466,238164,1826832,616358,33.739172512852846
15,6,0.02,random_forest,100,5,0.45,0.46406234920328815,False,0.25985759669368663,0.2464769853662581,0.9929412812576544,0.39492265079607575,0.5382409459084151,0.26432181112616043,89184,272651,1846162,461752,25.01145619940179
15,6,0.02,random_forest,100,5,0.5,0.46406234920328815,False,0.25985759669368663,0.2464769853662581,0.9929412812576544,0.39492265079607575,0.5382409459084151,0.26432181112616043,89184,272651,1846162,461752,25.01145619940179
10,9,0.025,xgboost,200,10,0.45,0.14987900853157043,False,0.2561187584345479,0.24308685035663455,0.9926481333678069,0.3905363389899472,0.5338341720884845,0.2582007447034877,88303,274954,1852497,456265,24.629729494838585
10,9,0.025,xgboost,200,10,0.5,0.14987900853157043,False,0.2561187584345479,0.24308685035663455,0.9926481333678069,0.3905363389899472,0.5338341720884845,0.2582007447034877,88303,274954,1852497,456265,24.629729494838585
10,6,0.03,xgboost,100,15,0.45,0.07417936623096466,False,0.19188394062078273,0.17756446234606624,0.9926480766568744,0.3012427506213753,0.5255680552131652,0.18620808886470994,64539,298929,1852497,331689,17.904968267155088
10,6,0.03,xgboost,100,15,0.5,0.07417936623096466,False,0.19188394062078273,0.17756446234606624,0.9926480766568744,0.3012427506213753,0.5255680552131652,0.18620808886470994,64539,298929,1852497,331689,17.904968267155088
10,12,0.025,random_forest,100,5,0.45,0.4692381260272845,False,0.27801349527665314,0.2659083778711038,0.9922465494577719,0.41941841133138574,0.5343499669633192,0.28259733000307724,96621,266741,1852497,500144,26.998370307752182
10,12,0.025,random_forest,100,5,0.5,0.4692381260272845,False,0.27801349527665314,0.2659083778711038,0.9922465494577719,0.41941841133138574,0.5343499669633192,0.28259733000307724,96621,266741,1852497,500144,26.998370307752182
15,12,0.015,xgboost,200,10,0.45,0.21522681415081024,False,0.34701123680711093,0.33571681474678855,0.9921846259493309,0.5016834112173678,0.5388297019464994,0.3566299050688045,121367,240149,1846162,627091,33.96727914451711
15,12,0.015,xgboost,200,10,0.5,0.21522681415081024,False,0.34701123680711093,0.33571681474678855,0.9921846259493309,0.5016834112173678,0.5388297019464994,0.3566299050688045,121367,240149,1846162,627091,33.96727914451711
10,9,0.015,random_forest,100,15,0.5,0.43353014559125,False,0.33205128205128204,0.31955083349205426,0.9917075009423294,0.48335396646785095,0.5339697137480083,0.33629127782369966,115764,246507,1852497,598190,32.29101045777672
10,9,0.015,random_forest,100,15,0.45,0.43353014559124986,False,0.33205128205128204,0.31955083349205426,0.9917075009423294,0.48335396646785095,0.5339697137480083,0.33629127782369966,115764,246507,1852497,598190,32.29101045777672
